"SITE_ID","DATA_START","DATA_END","DATASET","RANGE","LAT","LON","kop","RANGE_ANALYSIS","FILTER1","IGBP","FILTER2","mean.temp","n.cycles","half.time","j.s"
"US-Ha1",1991,2012,"B15",22,42.5378,-72.1715,"Dfb",21,1,"DBF",1,8.15027767209739,1,63,0.809577826460948
"US-PFa",1995,2014,"B15",20,45.9459,-90.2723,"Dfb",19,1,"MF",1,5.5545354825363,1,66,0.944503805294769
"BE-Bra",1996,2014,"B15",19,51.3092,4.5206,"Cfb",15,1,"MF",1,10.7229520902966,1,74,0.928924810934607
"BE-Vie",1996,2014,"B15",19,50.3051,5.9981,"Cfb",18,1,"MF",1,8.25045559380408,1,69,0.894459408479661
"DE-Tha",1996,2014,"B15",19,50.9636,13.5669,"Cfb",19,1,"ENF",1,8.76767610111195,1,86,0.864895794372174
"DK-Sor",1996,2014,"B15",19,55.4859,11.6446,"Cfb",19,1,"DBF",1,8.34096311243415,1,128,0.499631589486936
"FI-Hyy",1996,2014,"B15",19,61.8475,24.295,"Dfc",19,1,"ENF",1,4.36063230177928,1,109,0.658342041947522
"IT-Col",1996,2014,"B15",19,41.8494,13.5881,"Csa",19,1,"DBF",1,7.23553362702753,1,90,0.711616114794672
"NL-Loo",1996,2014,"B15",19,52.1666,5.7436,"Cfb",18,1,"ENF",1,9.98948554853937,1,79,0.837707498178972
"CH-Dav",1997,2014,"B15",18,46.8153,9.8559,"ET",18,1,"ENF",1,3.5174496228439,1,118,0.846619664856948
"RU-Fyo",1998,2014,"B15",17,56.4615,32.9221,"Dfb",17,1,"ENF",1,5.16566219914392,1,100,0.868846435614036
"US-NR1",1998,2014,"B15",17,40.0329,-105.5464,"Dfc",16,1,"ENF",1,2.28110650955367,1,71,0.936251785285999
"IT-Ren",1998,2013,"B15",16,46.5869,11.4337,"Dfc",12,1,"ENF",1,4.55011666060642,1,82,0.914110819811639
"US-MMS",1999,2014,"B15",16,39.3232,-86.4131,"Cfa",16,1,"DBF",1,12.3690148742429,1,105,0.62688772009768
"US-WCr",1999,2014,"B15",16,45.8059,-90.0799,"Dfb",12,1,"DBF",1,5.52849427959348,1,86,0.867793444532075
