"","sites","half.time","jama"
"1","US-Ha1",111,0.768634898427255
"2","US-PFa",111,0.928209695113717
"3","BE-Bra",111,0.921188374176613
"4","BE-Vie",111,0.875133695813584
"5","DE-Tha",111,0.858354218747765
"6","DK-Sor",111,0.497309489707473
"7","FI-Hyy",111,0.65828010461868
"8","IT-Col",111,0.704155571237225
"9","NL-Loo",111,0.820517195859861
"10","CH-Dav",111,0.84615366830536
"11","RU-Fyo",111,0.867877343017855
"12","US-NR1",111,0.922190915059692
"13","IT-Ren",111,0.906897862301053
"14","US-MMS",111,0.626583312723297
"15","US-WCr",111,0.853524120229701
"16","CA-Man",111,0.846821447278303
"17","DK-ZaH",111,0.480459519779584
"18","FR-Pue",111,0.551806695599751
"19","US-Los",111,0.919720400488747
"20","US-UMB",111,0.668979814633837
"21","US-Var",111,0.682780211785075
"22","AU-How",111,0.768817636813515
"23","AU-Tum",111,0.625246894817058
"24","FI-Sod",111,0.937075901674779
"25","IT-SRo",111,0.201472612833879
"26","US-Syv",111,0.929977155842596
"27","US-Ton",111,0.449002975135377
"28","ZA-Kru",111,0.898099168000075
"29","DE-Hai",111,0.862086674466523
"30","FR-LBr",111,0.61273253922794
"31","IT-Cpz",111,0.70520007662249
"32","US-Me2",111,0.652083209325015
"33","IT-Lav",111,0.379839727722015
"34","RU-Cok",111,0.812840477484605
"35","AT-Neu",111,0.603511456964728
"36","CH-Lae",111,0.776951551613167
"37","DE-Gri",111,0.432446274938589
"38","GF-Guy",111,0.144104151222209
"39","IT-MBo",111,0.384576352453432
"40","IT-Noe",111,0.264581265128942
"41","IT-Ro2",111,0.346683941273633
"42","US-Blo",111,0.79364879813947
"43","US-GLE",111,0.918505576333354
"44","US-SRM",111,0.877809452768834
"45","US-Wkg",111,0.658202083179067
"46","BR-Sa1",111,0.454108434205896
"47","CH-Cha",111,0.948477776096671
"48","CH-Fru",111,0.886535687487372
"49","FR-Fon",111,0.526955786447938
"50","CZ-wet",111,0.551321546805269
"51","IT-Ro1",111,0.250000906658544
"52","US-Ha1",112,0.767266875050964
"53","US-PFa",112,0.927613404443415
"54","BE-Bra",112,0.92078768093639
"55","BE-Vie",112,0.874418653562246
"56","DE-Tha",112,0.857694884329755
"57","DK-Sor",112,0.497104685559563
"58","FI-Hyy",112,0.658317834970626
"59","IT-Col",112,0.703749321449316
"60","NL-Loo",112,0.819600449516012
"61","CH-Dav",112,0.846295407010356
"62","RU-Fyo",112,0.867695105756126
"63","US-NR1",112,0.921612732499191
"64","IT-Ren",112,0.906454319297558
"65","US-MMS",112,0.626360671792437
"66","US-WCr",112,0.852396789013824
"67","CA-Man",112,0.847249839159021
"68","DK-ZaH",112,0.47340544240355
"69","FR-Pue",112,0.552995827358099
"70","US-Los",112,0.919240036169904
